listing_id,host_id,host_since,name,neighbourhood,property_type,room_type,bedrooms,price,number_of_reviews,review_scores_rating
22739042,1391607,2011-11-10,Olympic Apartment,el Parc i la Llacuna del Poblenou,Apartment,Entire home/apt,1.0,95,24,74.0
22739717,69815537,2016-05-01,Piso modernista  B,el Raval,Apartment,Entire home/apt,1.0,60,6,100.0
22742496,13553748,2014-03-26,Gran apartamento para 8 a 15' de Sagrada Familia,el Clot,Apartment,Entire home/apt,4.0,180,1,100.0
22743109,165552970,2018-01-03,Attic with terrace,el Camp de l'Arpa del Clot,Apartment,Entire home/apt,2.0,110,41,94.0
22746086,45764838,2015-10-04,Urban Garden,Sant Gervasi - Galvany,Other,Entire home/apt,3.0,2678,0,
22746130,1416252,2011-11-17,Habitación Museo Picasso,"Sant Pere, Santa Caterina i la Ribera",Apartment,Private room,2.0,99,45,97.0
22756444,7843388,2013-07-31,STUDIO NEXT TO LAS RAMBLAS II,el Barri Gòtic,Apartment,Entire home/apt,1.0,30,3,87.0
22756586,168078442,2018-01-16,Cozy&Newly renovated 2BR by Las Ramblas,el Barri Gòtic,Apartment,Entire home/apt,2.0,79,7,94.0
22756825,2970067,2012-07-17,SANTS FAMILY APARTMENT. BEAUTIFUL & GREAT LOCATION,Sants,Apartment,Entire home/apt,3.0,170,31,94.0
22757409,168084522,2018-01-16,Habitacion,la Sagrada Família,House,Private room,0.0,85,0,
22758186,168091065,2018-01-16,Huge fancy studio with balcony near Arc de Triomf,la Dreta de l'Eixample,Serviced apartment,Entire home/apt,1.0,61,1,100.0
22758472,116192013,2017-02-13,Lighty room in a peaceful area near Park Guell,el Guinardó,Apartment,Private room,1.0,40,1,100.0
22758728,24625668,2014-12-08,WOMEN ONLY! Cozy SingleRoom in city center!,Sant Antoni,Apartment,Private room,1.0,28,78,99.0
22760888,19947531,2014-08-13,Private doble room,l'Antiga Esquerra de l'Eixample,Apartment,Private room,1.0,25,11,93.0
22762840,168125583,2018-01-16,LUXURY IN SAGRADA FAMILIA,la Sagrada Família,Apartment,Entire home/apt,3.0,95,6,100.0
22763595,10547296,2013-12-10,Apartamento soleado cerca de Ramblas Wifi *Bcn*,Sant Antoni,Apartment,Entire home/apt,2.0,139,42,82.0
22767740,168172986,2018-01-16,Comfy  BEACH flat,el Poblenou,Apartment,Entire home/apt,1.0,90,34,99.0
22767897,32978151,2015-05-09,Excellent apartment very near Sag.Familia and town,el Fort Pienc,Apartment,Private room,1.0,25,69,98.0
22768244,69240049,2016-04-27,Habitacion doble en el Gotico Great Location,el Barri Gòtic,Apartment,Private room,1.0,70,103,95.0
22770039,168187518,2018-01-16,With SUNNY PRÍVATE TERRACE - BARCELONA CENTER !,la Sagrada Família,Apartment,Entire home/apt,2.0,89,25,92.0
22770282,20612813,2014-08-27,piso en bcn centro,la Nova Esquerra de l'Eixample,Apartment,Private room,1.0,35,1,
22772084,6057270,2013-04-23,Práctico apartamento con terraza · 4 personas Wifi,el Camp de l'Arpa del Clot,Apartment,Entire home/apt,2.0,79,53,95.0
22772168,18219353,2014-07-16,Collblanc Double Room Next to Camp Nou and Univers,la Maternitat i Sant Ramon,Apartment,Private room,0.0,25,0,
22778764,159447757,2017-11-20,centrico y bonito piso,les Corts,Apartment,Entire home/apt,3.0,130,9,65.0
22779020,168285476,2018-01-17,Comfortable Room,el Raval,Apartment,Private room,1.0,40,49,97.0
